nsu;chave;tipo_documento;json_path;xml_path;registrado_em
1;31062001208991555000154220000000171822121498892310;NFSE;saida_adn_nfse\empresas\empresa_7_cert_1\json\1_31062001208991555000154220000000171822121498892310.json;saida_adn_nfse\empresas\empresa_7_cert_1\xml\CAPYS_IT_SOLUTIONS_SERVICOS_EM_TECNOLOGIA_DA_INFORMACAO_SA NFS-e 2200000001718.xml;2026-07-09T15:21:23
2;31062001208836445000118220000000016522122145199575;NFSE;saida_adn_nfse\empresas\empresa_7_cert_1\json\2_31062001208836445000118220000000016522122145199575.json;saida_adn_nfse\empresas\empresa_7_cert_1\xml\ADMINISTRAAIR_CONSULTORIA_AERONAUTICA_LTDA NFS-e 2200000000165.xml;2026-07-09T15:21:28
3;31062001242248627000106220000000001622120954973617;NFSE;saida_adn_nfse\empresas\empresa_7_cert_1\json\3_31062001242248627000106220000000001622120954973617.json;saida_adn_nfse\empresas\empresa_7_cert_1\xml\K._S._FONTES_ADMINISTRACAO NFS-e 2200000000016.xml;2026-07-09T15:21:31
4;31062001204032380000105220000000395222129049112012;NFSE;saida_adn_nfse\empresas\empresa_7_cert_1\json\4_31062001204032380000105220000000395222129049112012.json;saida_adn_nfse\empresas\empresa_7_cert_1\xml\FERREIRA_E_CHAGAS_ADVOGADOS NFS-e 2200000003952.xml;2026-07-09T15:21:38
5;31062001208836445000118230000000000323012980155987;NFSE;saida_adn_nfse\empresas\empresa_7_cert_1\json\5_31062001208836445000118230000000000323012980155987.json;saida_adn_nfse\empresas\empresa_7_cert_1\xml\ADMINISTRAAIR_CONSULTORIA_AERONAUTICA_LTDA NFS-e 2300000000003.xml;2026-07-09T15:21:48
6;31062001208991555000154230000000001223018114517067;NFSE;saida_adn_nfse\empresas\empresa_7_cert_1\json\6_31062001208991555000154230000000001223018114517067.json;saida_adn_nfse\empresas\empresa_7_cert_1\xml\CAPYS_IT_SOLUTIONS_SERVICOS_EM_TECNOLOGIA_DA_INFORMACAO_SA NFS-e 2300000000012.xml;2026-07-09T15:21:56
7;31062001242248627000106230000000000123013363360285;NFSE;saida_adn_nfse\empresas\empresa_7_cert_1\json\7_31062001242248627000106230000000000123013363360285.json;saida_adn_nfse\empresas\empresa_7_cert_1\xml\K._S._FONTES_ADMINISTRACAO NFS-e 2300000000001.xml;2026-07-09T15:22:07
8;31062001204032380000105230000000019223013147413532;NFSE;saida_adn_nfse\empresas\empresa_7_cert_1\json\8_31062001204032380000105230000000019223013147413532.json;saida_adn_nfse\empresas\empresa_7_cert_1\xml\FERREIRA_E_CHAGAS_ADVOGADOS NFS-e 2300000000192.xml;2026-07-09T15:22:08
9;31062001208991555000154230000000017723018915678618;NFSE;saida_adn_nfse\empresas\empresa_7_cert_1\json\9_31062001208991555000154230000000017723018915678618.json;saida_adn_nfse\empresas\empresa_7_cert_1\xml\CAPYS_IT_SOLUTIONS_SERVICOS_EM_TECNOLOGIA_DA_INFORMACAO_SA NFS-e 2300000000177.xml;2026-07-09T15:22:09
10;31062001242248627000106230000000000223024775245849;NFSE;saida_adn_nfse\empresas\empresa_7_cert_1\json\10_31062001242248627000106230000000000223024775245849.json;saida_adn_nfse\empresas\empresa_7_cert_1\xml\K._S._FONTES_ADMINISTRACAO NFS-e 2300000000002.xml;2026-07-09T15:22:10
